"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0008033","tRNA processing","12/396","134/18870",2.60326190388776e-05,0.00376130507748983,0.00338787677644588,"TYW1B/ALKBH1/ALKBH8/TRMT13/TRIT1/TRMO/DUS3L/CTU2/RPP30/DPH3/YRDC/TRMT6",12
"BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","20/396","332/18870",2.60942096999923e-05,0.00376130507748983,0.00338787677644588,"BUD31/TXNL4B/SRSF3/TRA2A/TRA2B/DDX39A/SFPQ/PRPF3/PTBP2/METTL16/SRSF6/CWC22/PAXBP1/PRPF39/RBM15/YTHDC1/CWC25/PPIL1/ZCCHC8/SRSF1",20
"BP","GO:0000398","mRNA splicing, via spliceosome","20/396","332/18870",2.60942096999923e-05,0.00376130507748983,0.00338787677644588,"BUD31/TXNL4B/SRSF3/TRA2A/TRA2B/DDX39A/SFPQ/PRPF3/PTBP2/METTL16/SRSF6/CWC22/PAXBP1/PRPF39/RBM15/YTHDC1/CWC25/PPIL1/ZCCHC8/SRSF1",20
"BP","GO:0035970","peptidyl-threonine dephosphorylation","5/396","18/18870",2.7141106993312e-05,0.00376130507748983,0.00338787677644588,"DUSP10/PPM1D/DUSP1/PPP2CA/PPM1E",5
"BP","GO:0043414","macromolecule methylation","15/396","210/18870",3.94030688646507e-05,0.00524218428175313,0.00472173195742299,"FOS/TFB2M/PPM1D/ALKBH8/TRMT13/ZMPSTE24/TRMO/NOP2/METTL16/ARID4A/PAX6/EZH2/RBM15/KANSL2/TRMT6",15
"BP","GO:0045936","negative regulation of phosphate metabolic process","21/396","376/18870",4.98952546713112e-05,0.00638275450141465,0.00574906456658104,"FLCN/PIBF1/AKT1S1/DUSP10/DYNLL1/PLK1/LATS1/DUSP1/ZC3H12A/PPP1R15A/PRKRIP1/RGS14/PAX6/DUSP16/PPP2CA/PPM1E/LRP6/ATG14/PRDX3/TERF2IP/DNAJA1",21
"BP","GO:0010563","negative regulation of phosphorus metabolic process","21/396","377/18870",5.18371927447011e-05,0.00638557418773615,0.00575160430999686,"FLCN/PIBF1/AKT1S1/DUSP10/DYNLL1/PLK1/LATS1/DUSP1/ZC3H12A/PPP1R15A/PRKRIP1/RGS14/PAX6/DUSP16/PPP2CA/PPM1E/LRP6/ATG14/PRDX3/TERF2IP/DNAJA1",21
"BP","GO:0031400","negative regulation of protein modification process","23/396","437/18870",5.51310482680778e-05,0.00649166271054855,0.00584716019692413,"FLCN/PIBF1/AKT1S1/DUSP10/ISG15/PLK1/LATS1/PINX1/DUSP1/ZC3H12A/PPP1R15A/PER2/PRKRIP1/RGS14/PAX6/DUSP16/PPP2CA/PPM1E/LRP6/ATG14/GPS2/TERF2IP/DNAJA1",23
"BP","GO:0051168","nuclear export","13/396","168/18870",5.66019899596837e-05,0.00649166271054855,0.00584716019692413,"IFI27/DNAJC27/SRSF3/NXF1/DDX39A/LSG1/NMD3/NUP88/CHTOP/LTV1/DUSP16/YTHDC1/ABCE1",13
"BP","GO:0042326","negative regulation of phosphorylation","19/396","327/18870",6.72477349998293e-05,0.00745553222031441,0.00671533522138647,"PIBF1/AKT1S1/DUSP10/DYNLL1/PLK1/LATS1/DUSP1/ZC3H12A/PRKRIP1/RGS14/PAX6/DUSP16/PPP2CA/PPM1E/LRP6/ATG14/PRDX3/TERF2IP/DNAJA1",19
"BP","GO:0051101","regulation of DNA binding","9/396","85/18870",7.26819403224365e-05,0.00779806882298142,0.00702386424983546,"JUN/PINX1/DDIT3/PER2/ERCC4/PAX6/NFKBIA/EP300/H1-0",9
"BP","GO:1901796","regulation of signal transduction by p53 class mediator","10/396","107/18870",8.50918744031388e-05,0.0086690471724225,0.00780837049489332,"RPF2/USP15/ZMPSTE24/PAK1IP1/TRIAP1/SGK1/NOP2/HAPSTR1/AURKA/EP300",10
"BP","GO:0072331","signal transduction by p53 class mediator","13/396","175/18870",8.60127951563267e-05,0.0086690471724225,0.00780837049489332,"CDIP1/AEN/PPM1D/RPF2/USP15/ZMPSTE24/PAK1IP1/TRIAP1/SGK1/NOP2/HAPSTR1/AURKA/EP300",13
